id	isolate	aliases	country	year	disease	source	epidemiology	species	serogroup	genogroup	genogroup_notes	capsule_group	serotype	bioproject_accession	biosample_accession	ENA_run_accession	sender	strain_designation	Bact_rmlstc_20	Bact_rmlstc_10	Bact_rmlstc_5
20515	CCUG 30802T	ATCC 49377; B1019; B109; CIP 103511; NCTC 12736	USA	NA	other	blood		Neisseria elongata subsp. nitroreducens								ERR033105	8	ND: P1.ND,ND: F-ND: ST-9905 ()	3207	6182	9785
91511	CNF	SAMN03329021	Italy	2013		throat swab		Neisseria flavescens									304	ND: P1.ND,ND: F6-1: ST-14857 ()	5678	9110	13074
9021	B05BR000322	05BR322	USA	2005	invasive (unspecified/other)	other		Neisseria flavescens									8	ND: P1.ND,ND: F-ND: ST-6172 ()			
5211	LNP 414		USA	1930	carrier			Neisseria flavescens									8	ND: P1.ND,ND: F-ND: ST-3576 ()			
48010	SRR3349875		UK [England]	2012				Neisseria gonorrhoeae								SRR3349875	264	ND: P1.18-10,43: F3-14: ST-9362 ()	167	503	747
106862	ERR3577525		UK	2015			MSM	Neisseria gonorrhoeae						PRJEB19989		ERR3577525	206	ND: P1.18-10,43: F4-7: ST-1583 ()	167	503	747
79198	LRRBGS_0324		USA	2016				Neisseria gonorrhoeae						PRJNA329501		SRR8079754	206	ND: P1.18-10,43: F3-14: ST-9363 ()	167	503	747
31724	IN_10_1832	10625_6_79	India	2010				Neisseria gonorrhoeae	NG			NG				ERR363654	206	NG: P1.18-10,43: F5-24: ST-11204 ()	167	503	747
79002	VNM16-73		Vietnam	2016				Neisseria gonorrhoeae						PRJEB34425		ERR3623464	206	ND: P1.18-10,43: F4-7: ST-1588 ()	167	503	747
86590	AUSMDU00004493	NZ2015-69	New Zealand	2014				Neisseria gonorrhoeae						PRJNA394216		SRR5827126	206	ND: P1.18-10,43: F-ND: ST-7359 ()	167	503	747
61682	FC438	SAMD00099415	Japan	2015				Neisseria gonorrhoeae								DRR124703	264	ND: P1.18-10,43: F1-26: ST-1594 ()	167	503	747
82235	GCGS0278	03AZI_C_004	USA	2003			MSM	Neisseria gonorrhoeae						PRJEB7904	SAMEA3462909	ERR1067843	206	ND: P1.18-10,43: F3-14: ST-1901 ()	167	503	747
109830	ERR3200905		USA	2013			MSW	Neisseria gonorrhoeae						PRJEB10016		ERR3200905	206	ND: P1.18-10,43: F1-26: ST-1594 ()	167	503	747
72556	GCWGS-8050		USA	2018		urethral swab		Neisseria gonorrhoeae									614	ND: P1.ND,ND: F-ND: ST-15222 ()			
55960	HN024	NG375	China	NA				Neisseria gonorrhoeae									429	ND: P1.ND,ND: F-ND: ST-7827 ()			
56017	JS670	NG434	China	NA				Neisseria gonorrhoeae									429	ND: P1.ND,ND: F-ND: ST-7827 ()			
47515	SRR3343647		UK [England]	2013				Neisseria gonorrhoeae								SRR3343647	264	ND: P1.18-10,43: F1-27: ST-1579 ()	167	503	747
107270	ERR3577973		UK	2016			MSW	Neisseria gonorrhoeae						PRJEB19989		ERR3577973	206	ND: P1.18-10,43: F3-14: ST-7363 ()	167	503	747
48127	SRR3349992		UK [England]	2011				Neisseria gonorrhoeae								SRR3349992	264	ND: P1.18-10,43: F1-211: ST-7360 ()	167	503	747
47740	SRR3349341		UK [England]	2013				Neisseria gonorrhoeae								SRR3349341	264	ND: P1.18-10,43: F4-7: ST-8122 ()	167	503	8197
48978	SRR3361029		UK [England]	2012				Neisseria gonorrhoeae								SRR3361029	264	ND: P1.18-10,43: F3-14: ST-11999 ()	167	503	747
61068	601479		Norway	2017		urethral swab		Neisseria gonorrhoeae						PRJEB32435	SAMEA5609087	ERR3326060	477	ND: P1.18-10,43: F5-24: ST-11516 ()	167	503	747
109857	ERR3201280		USA	2013			MSW	Neisseria gonorrhoeae						PRJEB10016		ERR3201280	206	ND: P1.18-10,43: F3-14: ST-8139 ()	167	503	747
56185	573567		Norway	2017		throat swab		Neisseria gonorrhoeae						PRJEB32435	SAMEA5608762	ERR3325736	351	ND: P1.18-10,43: F4-7: ST-11428 ()	167	503	747
83696	ATCC 51483	GCA_003013245.1	USA	1994				Neisseria iguanae									236	ND: P1.ND,ND: F-ND: ST-ND (-)	15943	22930	30009
36959	Y313		UK	2015		throat swab		Neisseria lactamica								ERR957461	318	ND: P1.ND,ND: F4-8: ST-3493 (cc613)	196	925	1484
49734	CM40397		UK [England]	2015	carrier	throat swab	carrier	Neisseria lactamica	NG	cnl		cnl				ERR1771026	161	cnl: P1.ND,ND: F5-18: ST-12658 ()	196	564	9643
857	271	beta 271	Germany	2000	carrier		carrier	Neisseria lactamica									8	ND: P1.ND,ND: F-ND: ST-1615 ()			
17767	beta-270		Germany	2000	carrier	throat swab		Neisseria lactamica									47	ND: P1.ND,ND: F-ND: ST-ND (-)			
36186	M43.1		Ireland	2013	carrier			Neisseria lactamica								ERR976890	91	ND: P1.ND,ND: F5-43: ST-10984 (cc640)	168	6086	9562
8918	039-04		UK [England]	1997	carrier	throat swab	carrier	Neisseria lactamica									8	ND: P1.ND,ND: F1-33: ST-582 ()			
2562	3459/71		Czech Republic	1971	carrier		carrier	Neisseria lactamica									67	ND: P1.ND,ND: F-ND: ST-1546 (cc1540)			
82615	ExNm705		Australia	NA				Neisseria lactamica									304	ND: P1.ND,ND: F-ND: ST-15736 ()	196	45280	59724
36872	S118		UK	2015		throat swab		Neisseria lactamica								ERR957478	318	ND: P1.ND,ND: F-ND: ST-14279 ()	196	6083	9559
44506	OX40810		UK [England]	2015	carrier	throat swab	carrier	Neisseria lactamica	NG	cnl		cnl	NT			ERR1600493	161	cnl: P1.ND,ND: F1-25: ST-12171 ()	196	556	11371
36988	CC38		UK	2015		throat swab		Neisseria lactamica								ERR957519	318	ND: P1.ND,ND: F4-8: ST-3493 (cc613)	196	925	1484
21514	8064		France	NA				Neisseria lactamica									8	ND: P1.ND,ND: F-ND: ST-613 (cc613)			
18808	DL7739		Burkina Faso	2009	carrier	throat swab	carrier	Neisseria lactamica									217	ND: P1.ND,ND: F-ND: ST-9140 ()			
2569	3646/71		Czech Republic	1971	carrier		carrier	Neisseria lactamica									67	ND: P1.ND,ND: F-ND: ST-1553 (cc1540)			
36954	Y221		UK	2015		throat swab		Neisseria lactamica								ERR957451	318	ND: P1.ND,ND: F4-8: ST-3493 (cc613)	196	925	1484
15880	1-075-S1		Mali	2009	carrier	throat swab	carrier	Neisseria lactamica									8	ND: P1.ND,ND: F-ND: ST-8484 ()			
88827	M37170		Brazil	2014	carrier	throat swab		Neisseria lactamica									364	ND: P1.ND,ND: F5-92: ST-613 (cc613)	196	562	1531
60881	BRI013	BR42819	UK	2017	carrier			Neisseria lactamica	NG	cnl		cnl				ERR2619529	206	cnl: P1.ND,ND: F-ND: ST-13743 ()	191	9759	13864
